Nombre del consorcio	nroUnidadFuncional	Piso	departamento	coeficiente	m2_unidad_funcional	bauleras	cochera	m2_baulera	m2_cochera
Azcuenaga	1	PB	A	4,4	45	SI	SI	4	8
Azcuenaga	2	PB	B	4,4	45	SI	SI	4	8
Azcuenaga	3	PB	C	4,4	45	SI	SI	4	8
Azcuenaga	4	PB	D	4,4	45	SI	SI	4	8
Azcuenaga	5	PB	E	4,4	45	SI	SI	4	8
Azcuenaga	6	1	A	2,3	30	NO	NO	0	0
Azcuenaga	7	1	B	2,3	30	NO	NO	0	0
Azcuenaga	8	1	C	2,3	30	NO	NO	0	0
Azcuenaga	9	1	D	2,7	30	SI	NO	4	0
Azcuenaga	10	1	E	2,7	30	SI	NO	4	0
Azcuenaga	11	2	A	2,6	33	NO	NO	0	0
Azcuenaga	12	2	B	2,6	33	NO	NO	0	0
Azcuenaga	13	2	C	2,6	33	NO	NO	0	0
Azcuenaga	14	2	D	2,6	33	NO	NO	0	0
Azcuenaga	15	2	E	2,6	33	NO	NO	0	0
Azcuenaga	16	3	A	4,0	40	SI	SI	3	8
Azcuenaga	17	3	B	4,0	40	SI	SI	3	8
Azcuenaga	18	3	C	4,0	40	SI	SI	3	8
Azcuenaga	19	3	D	4,0	40	SI	SI	3	8
Azcuenaga	20	3	E	4,0	40	SI	SI	3	8
Azcuenaga	21	4	A	3,9	45	SI	NO	5	0
Azcuenaga	22	4	B	4,4	45	SI	SI	3	8
Azcuenaga	23	4	C	4,1	45	NO	SI	0	8
Azcuenaga	24	4	D	4,1	45	NO	SI	0	8
Azcuenaga	25	4	E	4,4	45	SI	SI	3	8
Azcuenaga	26	5	A	2,3	30	NO	NO	0	0
Azcuenaga	27	5	B	2,3	30	NO	NO	0	0
Azcuenaga	28	5	C	2,3	30	NO	NO	0	0
Azcuenaga	29	5	D	2,3	30	NO	NO	0	0
Azcuenaga	30	5	E	2,3	30	NO	NO	0	0
Alzaga	1	PB	A	6,3	45	SI	SI	5	8
Alzaga	2	PB	B	6,3	45	SI	SI	5	8
Alzaga	3	PB	C	6,3	45	SI	SI	5	8
Alzaga	4	PB	D	6,3	45	SI	SI	5	8
Alzaga	5	PB	E	6,3	45	SI	SI	5	8
Alzaga	6	1	A	3,6	30	SI	NO	3	0
Alzaga	7	1	B	4,5	30	SI	SI	3	8
Alzaga	8	1	C	4,2	30	NO	SI	0	8
Alzaga	9	1	D	4,2	30	NO	SI	0	8
Alzaga	10	1	E	4,5	30	SI	SI	3	8
Alzaga	11	2	A	4,9	33	SI	SI	4	8
Alzaga	12	2	B	4,9	33	SI	SI	4	8
Alzaga	13	2	C	4,9	33	SI	SI	4	8
Alzaga	14	2	D	4,9	33	SI	SI	4	8
Alzaga	15	2	E	4,9	33	SI	SI	4	8
Alzaga	16	3	A	4,4	40	NO	NO	0	0
Alzaga	17	3	B	4,4	40	NO	NO	0	0
Alzaga	18	3	C	4,4	40	NO	NO	0	0
Alzaga	19	3	D	4,8	40	SI	NO	4	0
Alzaga	20	3	E	4,8	40	SI	NO	4	0
Alberdi	1	PB	A	4,5	35	NO	NO	0	0
Alberdi	2	PB	B	4,5	35	NO	NO	0	0
Alberdi	3	PB	C	4,5	35	NO	NO	0	0
Alberdi	4	PB	D	4,5	35	NO	NO	0	0
Alberdi	5	1	A	6,0	35	SI	SI	4	8
Alberdi	6	1	B	6,0	35	SI	SI	4	8
Alberdi	7	1	C	6,0	35	SI	SI	4	8
Alberdi	8	1	D	6,0	35	SI	SI	4	8
Alberdi	9	2	A	6,0	35	SI	SI	4	8
Alberdi	10	2	B	4,5	35	NO	NO	0	0
Alberdi	11	2	C	4,5	35	NO	NO	0	0
